"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-02","57","41","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-03","52","31","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-04","53","25","38"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-05","61","26","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-06","62","24","38"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-07","65","24","53"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-08","60","28","43"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-09","63","29","41"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-10","66","29","51"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-11","58","30","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-12","43","15",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-13","35","11","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-14","53","22","47"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-15","55","33","45"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-16","55","18","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-17",,"6","25"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-18","41","15","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-19","45","11","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-20","51","16","38"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-21",,,
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-22","54","18","33"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-23","42","21","27"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-24","38","7","25"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-25","41","1","31"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-26","53","25","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-27","59","23","33"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-28","58","25","33"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-29","60","22","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-11-30","57","22","31"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-01","53","22","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-02","53","22","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-03","55","25","44"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-04","47","33","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-05","49","32","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-06","50","30","42"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-07","53","29","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-08","55","25","36"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-09","52","24","25"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-10","55","24","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-11","57","22","31"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-12","56","29","45"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-13",,,
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-14","47","26","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-15","39","17","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-16","42","21","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-17","33","25","31"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-18","37","20","28"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-19","37","21","25"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-20","41","23","24"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-21","42","24","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-22","51","26","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-23","33","19","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-24","35","4","21"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-25","43","18","34"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-26","34","15","19"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-27","29","-2","8"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-28","33","7","13"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-29","37","6","18"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-30","22","14",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2014-12-31","26","6",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-01","31","5","7"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-02","35","6","28"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-03","36","8","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-04","41","6","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-05","50","11","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-06","53","22","32"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-07","46","20","21"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-08","44","14","24"
