STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72365623049,2014-09-05T14:53:00,FM-15,7,79
72365623049,2014-09-05T15:53:00,FM-15,7,77
72365623049,2014-09-05T16:53:00,FM-15,7,74
72365623049,2014-09-05T17:42:00,FM-16,7,72
72365623049,2014-09-05T17:51:00,FM-16,6,72
72365623049,2014-09-05T17:53:00,FM-15,7,72
72365623049,2014-09-05T18:01:00,FM-16,7,71
72365623049,2014-09-05T18:18:00,FM-16,7,70
72365623049,2014-09-05T18:53:00,FM-15,7,66
72365623049,2014-09-05T19:53:00,FM-15,7,63
72365623049,2014-09-05T20:53:00,FM-15,7,61
72365623049,2014-09-05T21:53:00,FM-15,7,60
72365623049,2014-09-05T22:53:00,FM-15,7,58
72365623049,2014-09-05T23:53:00,FM-15,7,57
72365623049,2014-09-05T23:59:00,SOD  ,6,
72365623049,2014-09-06T00:53:00,FM-15,7,56
72365623049,2014-09-06T01:53:00,FM-15,7,56
72365623049,2014-09-06T02:53:00,FM-15,7,57
72365623049,2014-09-06T03:00:00,FM-16,7,56
72365623049,2014-09-06T03:53:00,FM-15,7,56
72365623049,2014-09-06T04:53:00,FM-15,7,57
72365623049,2014-09-06T05:53:00,FM-15,7,57
72365623049,2014-09-06T06:53:00,FM-15,7,58
72365623049,2014-09-06T07:53:00,FM-15,7,60
72365623049,2014-09-06T08:53:00,FM-15,7,63
72365623049,2014-09-06T09:53:00,FM-15,7,66
72365623049,2014-09-06T10:12:00,FM-16,7,67
72365623049,2014-09-06T10:53:00,FM-15,7,67
72365623049,2014-09-06T11:53:00,FM-15,7,70
72365623049,2014-09-06T12:53:00,FM-15,7,73
72365623049,2014-09-06T13:53:00,FM-15,7,74
72365623049,2014-09-06T14:53:00,FM-15,7,76
72365623049,2014-09-06T15:53:00,FM-15,7,74
72365623049,2014-09-06T16:53:00,FM-15,7,72
72365623049,2014-09-06T17:53:00,FM-15,7,68
72365623049,2014-09-06T18:53:00,FM-15,7,64
72365623049,2014-09-06T19:53:00,FM-15,7,62
72365623049,2014-09-06T20:48:00,FM-16,7,61
72365623049,2014-09-06T20:53:00,FM-15,7,61
72365623049,2014-09-06T21:53:00,FM-15,7,60
72365623049,2014-09-06T22:53:00,FM-15,7,58
72365623049,2014-09-06T23:53:00,FM-15,7,57
72365623049,2014-09-06T23:59:00,SOD  ,6,
72365623049,2014-09-07T00:53:00,FM-15,7,56
72365623049,2014-09-07T01:25:00,FM-16,7,56
72365623049,2014-09-07T01:53:00,FM-15,7,56
72365623049,2014-09-07T02:21:00,FM-16,7,57
72365623049,2014-09-07T02:53:00,FM-15,7,57
72365623049,2014-09-07T03:34:00,FM-16,7,56
72365623049,2014-09-07T03:53:00,FM-15,7,55
72365623049,2014-09-07T04:53:00,FM-15,7,53
72365623049,2014-09-07T05:39:00,FM-16,7,51
72365623049,2014-09-07T05:51:00,FM-16,6,54
72365623049,2014-09-07T05:53:00,FM-15,7,54
72365623049,2014-09-07T06:53:00,FM-15,7,59
72365623049,2014-09-07T07:00:00,FM-16,7,59
72365623049,2014-09-07T07:07:00,FM-16,7,59
72365623049,2014-09-07T07:53:00,FM-15,7,62
72365623049,2014-09-07T08:33:00,FM-16,7,63
72365623049,2014-09-07T08:51:00,FM-16,6,64
72365623049,2014-09-07T08:53:00,FM-15,7,65
72365623049,2014-09-07T09:00:00,FM-16,7,65
72365623049,2014-09-07T09:26:00,FM-16,7,65
72365623049,2014-09-07T09:53:00,FM-15,7,67
